"DATE","TIME PERIOD","Overnight deposits vis-a-vis euro area NFCs reported by MFIs excl. ESCB, Stocks (BSI.M.IT.N.A.L21.A.1.U2.2240.Z01.E)"
"2003-01-31","2003Jan","96065.00"
"2003-02-28","2003Feb","94946.00"
"2003-03-31","2003Mar","98017.00"
"2003-04-30","2003Apr","102425.00"
"2003-05-31","2003May","104693.00"
"2003-06-30","2003Jun","105451.00"
"2003-07-31","2003Jul","103573.00"
"2003-08-31","2003Aug","106073.00"
"2003-09-30","2003Sep","106850.00"
"2003-10-31","2003Oct","110454.00"
"2003-11-30","2003Nov","110978.00"
"2003-12-31","2003Dec","108266.00"
"2004-01-31","2004Jan","103518.00"
"2004-02-29","2004Feb","104087.00"
"2004-03-31","2004Mar","107208.00"
"2004-04-30","2004Apr","111793.00"
"2004-05-31","2004May","114563.00"
"2004-06-30","2004Jun","115526.00"
"2004-07-31","2004Jul","118675.00"
"2004-08-31","2004Aug","115891.00"
"2004-09-30","2004Sep","118653.00"
"2004-10-31","2004Oct","121688.00"
"2004-11-30","2004Nov","116745.00"
"2004-12-31","2004Dec","121480.00"
"2005-01-31","2005Jan","115131.00"
"2005-02-28","2005Feb","114695.00"
"2005-03-31","2005Mar","119950.00"
"2005-04-30","2005Apr","126521.00"
"2005-05-31","2005May","128371.00"
"2005-06-30","2005Jun","129895.00"
"2005-07-31","2005Jul","129367.00"
"2005-08-31","2005Aug","127714.00"
"2005-09-30","2005Sep","129341.00"
"2005-10-31","2005Oct","134329.00"
"2005-11-30","2005Nov","127440.00"
"2005-12-31","2005Dec","133494.00"
"2006-01-31","2006Jan","125497.00"
"2006-02-28","2006Feb","126931.00"
"2006-03-31","2006Mar","132447.00"
"2006-04-30","2006Apr","136287.00"
"2006-05-31","2006May","139462.00"
"2006-06-30","2006Jun","139772.00"
"2006-07-31","2006Jul","135523.00"
"2006-08-31","2006Aug","134215.00"
"2006-09-30","2006Sep","138398.00"
"2006-10-31","2006Oct","140979.00"
"2006-11-30","2006Nov","136323.00"
"2006-12-31","2006Dec","147352.00"
"2007-01-31","2007Jan","138538.00"
"2007-02-28","2007Feb","138421.00"
"2007-03-31","2007Mar","146180.00"
"2007-04-30","2007Apr","147888.00"
"2007-05-31","2007May","152109.00"
"2007-06-30","2007Jun","154781.00"
"2007-07-31","2007Jul","150585.00"
"2007-08-31","2007Aug","146918.00"
"2007-09-30","2007Sep","151127.00"
"2007-10-31","2007Oct","154458.00"
"2007-11-30","2007Nov","148397.00"
"2007-12-31","2007Dec","155055.00"
"2008-01-31","2008Jan","145898.00"
"2008-02-29","2008Feb","146058.00"
"2008-03-31","2008Mar","149291.00"
"2008-04-30","2008Apr","154930.00"
"2008-05-31","2008May","160938.00"
"2008-06-30","2008Jun","158265.00"
"2008-07-31","2008Jul","157012.00"
"2008-08-31","2008Aug","155364.00"
"2008-09-30","2008Sep","156432.00"
"2008-10-31","2008Oct","156969.00"
"2008-11-30","2008Nov","160005.00"
