"DATE","TIME PERIOD","Overnight deposits vis-a-vis euro area households reported by MFIs excl. ESCB, Stocks (BSI.M.IT.N.A.L21.A.1.U2.2250.Z01.E)"
"2003-01-31","2003Jan","318147.00"
"2003-02-28","2003Feb","323421.00"
"2003-03-31","2003Mar","326768.00"
"2003-04-30","2003Apr","331440.00"
"2003-05-31","2003May","329231.00"
"2003-06-30","2003Jun","335415.00"
"2003-07-31","2003Jul","334661.00"
"2003-08-31","2003Aug","329397.00"
"2003-09-30","2003Sep","334053.00"
"2003-10-31","2003Oct","335703.00"
"2003-11-30","2003Nov","336240.00"
"2003-12-31","2003Dec","352954.00"
"2004-01-31","2004Jan","351291.00"
"2004-02-29","2004Feb","347355.00"
"2004-03-31","2004Mar","350480.00"
"2004-04-30","2004Apr","353629.00"
"2004-05-31","2004May","354768.00"
"2004-06-30","2004Jun","358553.00"
"2004-07-31","2004Jul","358487.00"
"2004-08-31","2004Aug","349693.00"
"2004-09-30","2004Sep","354979.00"
"2004-10-31","2004Oct","357675.00"
"2004-11-30","2004Nov","354799.00"
"2004-12-31","2004Dec","370433.00"
"2005-01-31","2005Jan","370396.00"
"2005-02-28","2005Feb","370787.00"
"2005-03-31","2005Mar","367541.00"
"2005-04-30","2005Apr","375208.00"
"2005-05-31","2005May","375821.00"
"2005-06-30","2005Jun","378324.00"
"2005-07-31","2005Jul","378691.00"
"2005-08-31","2005Aug","366376.00"
"2005-09-30","2005Sep","374614.00"
"2005-10-31","2005Oct","375405.00"
"2005-11-30","2005Nov","372213.00"
"2005-12-31","2005Dec","391875.00"
"2006-01-31","2006Jan","387331.00"
"2006-02-28","2006Feb","387408.00"
"2006-03-31","2006Mar","388967.00"
"2006-04-30","2006Apr","398069.00"
"2006-05-31","2006May","399720.00"
"2006-06-30","2006Jun","398745.00"
"2006-07-31","2006Jul","395137.00"
"2006-08-31","2006Aug","382438.00"
"2006-09-30","2006Sep","391454.00"
"2006-10-31","2006Oct","394033.00"
"2006-11-30","2006Nov","389216.00"
"2006-12-31","2006Dec","413667.00"
"2007-01-31","2007Jan","400882.00"
"2007-02-28","2007Feb","398105.00"
"2007-03-31","2007Mar","396361.00"
"2007-04-30","2007Apr","403567.00"
"2007-05-31","2007May","399796.00"
"2007-06-30","2007Jun","402259.00"
"2007-07-31","2007Jul","397728.00"
"2007-08-31","2007Aug","384893.00"
"2007-09-30","2007Sep","397398.00"
"2007-10-31","2007Oct","393430.00"
"2007-11-30","2007Nov","391026.00"
"2007-12-31","2007Dec","416599.00"
"2008-01-31","2008Jan","412352.00"
"2008-02-29","2008Feb","407193.00"
"2008-03-31","2008Mar","410768.00"
"2008-04-30","2008Apr","416210.00"
"2008-05-31","2008May","420530.00"
"2008-06-30","2008Jun","422622.00"
"2008-07-31","2008Jul","412813.00"
"2008-08-31","2008Aug","399800.00"
"2008-09-30","2008Sep","413350.00"
"2008-10-31","2008Oct","422140.00"
"2008-11-30","2008Nov","423379.00"
"2008-12-31","2008Dec","450540.00"
